system:index,Aspect_deg,Elevation_m,MTBS_Severity,Month6_NBR,Month6_NDVI,NLCD2016,Postfire_NBR,Postfire_NDVI,Prefire_NBR,Prefire_NDVI,Slope_deg,Year10_NBR,Year10_NDVI,Year1_NBR,Year1_NDVI,Year5_NBR,Year5_NDVI,Year9_NBR,Year9_NDVI,dNBR,lat,lon,.geo
7683_0,182.50739,1756.709,1,-0.0106984265,0.25518623,71,-0.084546424,0.21449594,0.03510819,0.26812106,16.726954,0.24783096,0.41943502,0.1002633,0.32490343,0.070845075,0.2952115,0.10693728,0.32346386,0.11965462,34.32889797223874,-117.55812919779444,"{""type"":""MultiPoint"",""coordinates"":[]}"
7684_0,122.65794,1378.1853,3,-0.13763571,0.125424,71,-0.32775465,0.13504598,0.21165289,0.41624254,27.869032,0.33599824,0.48706618,-0.025089111,0.16348003,0.16999461,0.3207942,0.12663972,0.34991914,0.53940755,34.288923163855735,-117.51686420552366,"{""type"":""MultiPoint"",""coordinates"":[]}"
7685_0,101.292206,1481.8136,2,-0.18515451,0.10237009,71,-0.22958142,0.09700509,0.18082155,0.37859696,17.782522,0.3558999,0.45150113,0.03452325,0.20664082,0.14082883,0.31346828,0.14870888,0.3374048,0.41040298,34.31132180096804,-117.55399352113737,"{""type"":""MultiPoint"",""coordinates"":[]}"
7686_0,232.16217,1101.5187,3,-0.01658771,0.3321884,71,-0.33081844,0.15448444,0.20789853,0.38616005,15.500344,0.25428823,0.4333962,-0.0058729313,0.2361772,0.10985432,0.32830605,0.117745176,0.37448332,0.538717,34.29932919913298,-117.50556009574917,"{""type"":""MultiPoint"",""coordinates"":[]}"
7687_0,105.28878,1391.4619,2,-0.19740994,0.14563534,71,-0.36084566,0.16906084,-0.012291834,0.23972678,19.572956,0.09531324,0.2943995,-0.12423832,0.15336427,-0.019899588,0.22393136,-0.03383559,0.22886987,0.3485538,34.37010466717192,-117.51103705192524,"{""type"":""MultiPoint"",""coordinates"":[]}"
7688_0,226.06752,1890.1246,3,-0.14754367,0.09951392,71,-0.1773342,0.1045824,0.08755149,0.27264658,29.755896,0.122006945,0.26773864,-0.08812942,0.12357514,0.014348653,0.19634968,0.059431154,0.21913306,0.2648857,34.3468903693262,-117.59300876908519,"{""type"":""MultiPoint"",""coordinates"":[]}"
7689_0,65.83873,1010.58185,2,-0.041451912,0.31060925,71,-0.3289141,0.15747954,0.071601145,0.3375053,31.14187,0.13524036,0.3526252,-0.039558254,0.23754655,0.013205691,0.2665333,-0.018202158,0.30331272,0.40051526,34.312493633335635,-117.45621184068908,"{""type"":""MultiPoint"",""coordinates"":[]}"
7690_0,53.036594,1421.6226,1,-0.16860387,0.1994133,21,-0.17329668,0.18297116,-0.05925446,0.22338338,15.377099,0.12782848,0.34334815,-0.045533758,0.24788436,0.005481523,0.23835449,-0.037377857,0.22908452,0.114042215,34.372960072600215,-117.5191237928589,"{""type"":""MultiPoint"",""coordinates"":[]}"
7691_0,324.07986,1344.165,1,-0.09901572,0.2458049,71,-0.11196682,0.19123174,-0.027279489,0.23308799,3.7707512,0.10611648,0.31369528,-0.026105072,0.24118426,-0.0087765865,0.24000075,-0.057900675,0.2414626,0.08468733,34.37840749681938,-117.49524560833879,"{""type"":""MultiPoint"",""coordinates"":[]}"
7692_0,272.52167,1790.6511,4,-0.1662721,0.13101211,71,-0.24034426,0.13251773,0.16105777,0.33095893,19.182648,0.20563929,0.3323315,-0.06847981,0.18833725,0.0762537,0.2750843,0.12542804,0.27821946,0.40140203,34.35428093664669,-117.59899001592866,"{""type"":""MultiPoint"",""coordinates"":[]}"
7693_0,148.7779,1302.1471,3,-0.14949846,0.12036305,71,-0.24362291,0.14100407,0.038765673,0.23813576,34.56811,0.07018533,0.22144634,-0.08753442,0.12729882,-0.016496245,0.16910455,-0.0027970641,0.18380795,0.2823886,34.33234483594727,-117.54307056145478,"{""type"":""MultiPoint"",""coordinates"":[]}"
7694_0,174.44585,1570.5284,1,-0.053618103,0.21684697,52,-0.05148845,0.21388723,-0.02117784,0.23185708,37.271862,0.15503217,0.34728914,0.07300415,0.30127725,0.01098146,0.25210205,0.036004853,0.26195315,0.030310612,34.32599193124691,-117.556498806156,"{""type"":""MultiPoint"",""coordinates"":[]}"
7695_0,92.400185,1078.9265,2,-0.096621625,0.14324565,71,-0.14940374,0.16979933,0.08207359,0.26843646,19.184883,0.14844278,0.3026822,-0.0077424543,0.17859054,0.026300931,0.22253622,0.06582698,0.25654563,0.23147734,34.32721489993946,-117.50531940831564,"{""type"":""MultiPoint"",""coordinates"":[]}"
7696_0,94.9482,1223.0454,2,-0.20738626,0.10646927,71,-0.2558288,0.102840565,-0.030645033,0.19514051,2.7523932,0.035279732,0.19795437,-0.1005786,0.12647341,-0.030131256,0.17552862,-0.03423622,0.16860007,0.22518376,34.3556286541487,-117.5338785145464,"{""type"":""MultiPoint"",""coordinates"":[]}"
7697_0,358.33658,1200.8363,2,-0.057404473,0.2774144,71,-0.21226017,0.14374234,-0.014850957,0.21789992,1.4810305,0.035342745,0.24836227,0.0041497434,0.2208507,-0.019585412,0.20688668,-0.06848178,0.22119533,0.19740921,34.36870535731568,-117.43145751025523,"{""type"":""MultiPoint"",""coordinates"":[]}"
7698_0,63.933117,1179.202,2,-0.08216337,0.09409114,71,-0.12571463,0.10613805,0.35475942,0.49753875,22.80949,0.47349808,0.5888649,0.23184913,0.3335287,0.31290492,0.41406956,0.35274425,0.49420413,0.48047405,34.28832719258441,-117.51064210502769,"{""type"":""MultiPoint"",""coordinates"":[]}"
7699_0,239.30367,1037.5593,2,-0.023774806,0.26510513,71,-0.27063915,0.14798617,0.09080919,0.28404883,26.433508,0.1543184,0.32324478,-0.01093009,0.19768953,0.059999075,0.24465534,0.0012231373,0.26237476,0.36144832,34.305488316494326,-117.45915631894302,"{""type"":""MultiPoint"",""coordinates"":[]}"
