system:index,Aspect_deg,Burned_Since_1996,Elevation_m,MTBS_Severity,Month6_NBR,Month6_NDVI,NLCD2016,Postfire_NBR,Postfire_NDVI,Prefire_NBR,Prefire_NDVI,Slope_deg,Year10_NBR,Year10_NDVI,Year1_NBR,Year1_NDVI,Year5_NBR,Year5_NDVI,Year9_NBR,Year9_NDVI,dNBR,group,lat,lon,.geo
1_8844_0,144.1408,1,1181.1152,2,-0.026523147,0.2471143,21,-0.24073559,0.1446621,0.021273447,0.23531404,8.449764,0.107251145,0.25850236,0.004326442,0.18174997,0.019571975,0.23009267,-0.017424958,0.22286536,0.26200905,burned,34.329571076188095,-117.42310423364516,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8845_0,2.6675875,1,1174.199,3,-0.21701106,0.1452213,71,-0.16141288,0.1453825,0.16034365,0.39299423,34.293205,0.26211953,0.44340092,0.0115197,0.1917913,0.10219685,0.26045337,0.1983585,0.38118488,0.3217565,burned,34.3014674903357,-117.48893299073359,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8846_0,127.84703,1,1170.7552,1,-0.08840522,0.1586154,90,-0.07417964,0.16546258,-0.037330877,0.15872595,2.7298925,0.07355736,0.24520889,0.015924735,0.2039685,-0.0027647158,0.19537787,-0.020364733,0.18621446,0.036848765,burned,34.35399899742269,-117.52395576167662,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8847_0,120.68909,1,1191.9766,2,-0.10727996,0.21565948,71,-0.2398959,0.12054201,-0.030936327,0.18372792,3.7788773,0.058256667,0.23045762,-0.1080423,0.15772855,-0.055367537,0.19158988,-0.059177916,0.19959188,0.20895958,burned,34.35412860699643,-117.52804583499015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8848_0,139.39987,1,1039.4446,3,-0.09103889,0.23045594,71,-0.23806648,0.12161711,-0.003434036,0.22793332,1.9646502,0.072684154,0.2576699,-0.0668449,0.16866149,-0.005338643,0.2058729,-0.02212654,0.20787974,0.23463245,burned,34.322663455722726,-117.50759676027532,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8849_0,54.20315,1,1397.3015,3,-0.20721728,0.12075065,71,-0.2614345,0.08826993,0.17239459,0.36296654,8.764272,0.32776195,0.45488155,-0.004712635,0.18454278,0.17218617,0.32735348,0.1408283,0.3373477,0.43382907,burned,34.31427011490574,-117.55074866901957,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8850_0,109.462555,1,1331.998,1,0.037485953,0.25161853,52,0.04704599,0.20895681,0.068090975,0.22900344,11.641841,0.1296556,0.28064615,0.113473706,0.26652184,0.030287571,0.21614318,0.03822313,0.22530589,0.021044984,burned,34.34788347099564,-117.45598150425441,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8851_0,168.57188,1,1121.6803,2,0.21222164,0.43040246,71,-0.20851155,0.15910876,-0.0058120983,0.20013136,5.7559595,0.0024195982,0.20710737,-0.0114603,0.17181443,-0.0078006783,0.19202028,-0.07961034,0.19681111,0.20269945,burned,34.33555555137114,-117.45626828510662,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8852_0,157.52661,1,1254.302,2,-0.04267925,0.27340078,71,-0.29776943,0.16275322,-0.016773386,0.26191214,22.26677,0.043320518,0.2670925,-0.11108931,0.17217544,-0.03219871,0.21045205,-0.061401885,0.2358934,0.28099605,burned,34.34886968237467,-117.46397689616104,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8853_0,77.69139,1,983.5751,2,0.096789405,0.30813098,71,-0.12203251,0.14340408,0.07828743,0.24114,16.459484,0.0613425,0.22749116,0.039009776,0.17851928,0.037966706,0.22179656,-0.030985566,0.22423095,0.20031995,burned,34.293095802809376,-117.4767029776297,"{""type"":""MultiPoint"",""coordinates"":[]}"
